Sale_ID,Farmer_ID,Farm_ID,Market_ID,Crop,Quantity_Sold_kg,Market_Price_Naira,Transport_Cost,Storage_Cost,Loss_Transit_kg,Stored_kg,Capacity_kg,Sale_Date
S0019,F198,FP1480,M411,Cassava,1948.06,258.27,2169.26,2369.03,35.26,1614.03,1963.8,17/09/2024
S0020,F160,FP1496,M233,Cassava,1628.64,183.84,3674.52,2780.29,70.12,1381.18,1728.07,17/11/2024
S0021,F295,FP1410,M387,Yam,1376.99,182.43,2854.94,1511.12,41.06,1029.98,1273.15,14/07/2024
S0022,F130,FP0220,M566,Sorghum,1851.17,209.72,4839.83,2637.93,23.27,1626.75,1941.71,06/01/2024
S0023,F053,FP0730,M672,Rice,2516.76,314.61,9317.46,4847.67,111.34,2275.37,2555.04,24/11/2024
S0024,F255,FP0294,M280,Maize,1692.84,191.76,5712.32,2967.18,13.39,1357.75,1573.22,14/05/2024
S0025,F144,FP0609,M201,Maize,2409.03,212.74,3018.93,2150.55,61.15,2388.71,2991.6,16/11/2024
S0026,F147,FP1172,M864,Cassava,1849.83,204.76,5856.03,704.55,56.32,1460.5,1793.19,10/07/2024
S0027,F151,FP1439,M990,Sorghum,2040.99,304.85,2944.58,4111.86,79.46,1895.58,2289.63,01/01/2024
S0028,F254,FP0453,M037,Rice,944.74,248.33,4706.11,3270.93,5.28,831.07,995.39,06/06/2024
S0029,F208,FP1155,M404,Maize,2282.41,165.46,5500.99,3519.67,64.75,1761.65,2022.68,13/02/2024
S0030,F104,FP0254,M227,Sorghum,1459.99,256.26,6133.79,2753.25,71.39,1342.57,1695.94,05/03/2024
S0031,F163,FP0957,M999,Rice,1728.5,104.58,2339.85,2962.07,47.52,1276.53,1525.53,27/09/2024
S0032,F195,FP0401,M640,Sorghum,2471.58,188.58,3264.72,3218.79,26.17,2376.99,2815.85,19/12/2024
S0033,F238,FP0038,M230,Rice,1115.06,185.98,6757.35,2640.61,55.48,847.83,985.47,12/08/2024
S0034,F286,FP0284,M879,Maize,2404.69,277.66,2187.19,2948.21,29.81,2332.27,2776.09,22/06/2024
S0035,F035,FP1216,M049,Maize,1318.49,308.4,1433.5,2635.3,38.79,931.26,1127.55,06/02/2024
S0036,F037,FP0280,M349,Maize,1963.61,275.46,5946.48,2890.76,6.62,1791.5,1991.74,18/06/2024
S0037,F161,FP1280,M323,Cassava,1376.6,133.96,5428.19,1131.39,46.05,992.88,1139.43,03/10/2024
S0038,F174,FP0626,M288,Yam,1886.59,266.97,2704.56,5084.4,53.87,1395.5,1796.15,04/05/2024
S0039,F273,FP1128,M929,Maize,1372.38,168.11,5837.28,1907.73,13.07,1283.7,1619.39,03/12/2024
S0040,F026,FP0921,M408,Maize,899.06,272.74,5047.86,4307.87,20.99,745.6,883.32,10/12/2024
S0041,F264,FP0512,M400,Rice,2518.68,240.51,5136.7,2385.89,7.63,2256.83,2774.18,25/02/2024
S0042,F051,FP0575,M190,Yam,2744.77,192.69,6372.52,580.93,61.57,2126.09,2419.58,03/04/2024
S0043,F101,FP0993,M264,Yam,1564.03,316.23,3569.39,4019.4,72.2,1225.52,1409.3,08/10/2024
S0044,F047,FP0867,M823,Maize,1434.82,255.15,4785.61,2270.67,38.78,1046.52,1287.67,17/02/2024
S0045,F229,FP1498,M999,Yam,2596.49,209.62,4728.57,1809.74,21.59,2539.13,3224.03,03/09/2024
S0046,F122,FP0513,M751,Yam,1615.78,251.0,5635.53,581.66,4.74,1234.66,1457.16,02/01/2024
S0047,F272,FP1213,M999,Yam,2272.69,328.65,3424.8,5885.44,89.1,2262.67,2608.95,26/05/2024
S0048,F086,FP0697,M285,Sorghum,1208.21,256.03,4525.22,5808.01,60.13,999.07,1290.26,04/12/2024
S0049,F039,FP1313,M254,Maize,1790.28,174.72,1010.08,1049.71,26.56,1639.04,1853.69,23/10/2024
S0050,F290,FP1204,M223,Maize,2571.53,332.63,11374.07,3126.25,40.32,2367.66,2633.29,26/10/2024
S0051,F247,FP0258,M497,Maize,2286.32,348.11,5688.14,4389.35,60.72,1927.45,2474.61,17/09/2024
S0052,F163,FP0380,M545,Cassava,2103.92,312.28,9266.07,71.87,62.6,1523.31,1732.25,25/07/2024
S0053,F168,FP1067,M556,Sorghum,1724.11,281.18,3233.84,1950.93,21.23,1268.89,1621.71,21/01/2024
S0054,F242,FP0035,M727,Sorghum,1590.75,232.2,4583.76,2260.5,46.42,1409.11,1668.17,10/06/2024
S0055,F196,FP0826,M501,Cassava,1505.32,299.47,6058.87,2724.16,53.9,1475.83,1683.7,15/05/2024
S0056,F249,FP0676,M394,Rice,1754.96,204.59,8356.61,188.3,26.32,1436.85,1773.56,07/02/2024
S0057,F036,FP0978,M999,Maize,2605.41,276.96,7087.35,3343.47,73.34,1831.07,2241.65,07/02/2024
S0058,F183,FP0279,M999,Rice,1032.97,265.41,3746.28,986.99,6.84,889.69,1068.68,05/02/2024
S0059,F217,FP1366,M397,Sorghum,1637.01,467.78,4521.55,4280.96,12.91,1577.72,1852.09,26/12/2024
S0060,F206,FP0735,M384,Sorghum,1664.48,197.08,2315.37,2046.14,67.17,1316.2,1706.81,05/01/2024
S0061,F053,FP1175,M144,Maize,2361.77,390.02,3601.71,2986.77,110.03,2126.44,2574.95,09/03/2024
S0062,F215,FP0733,M235,Cassava,754.99,363.93,6777.97,3744.1,28.03,588.39,751.93,19/05/2024
S0063,F174,FP1192,M170,Rice,1827.79,244.22,6772.4,2649.45,31.34,1433.95,1637.75,15/09/2024
S0064,F136,FP1389,M833,Maize,1822.18,157.67,4365.26,3687.66,77.09,1542.58,1976.15,20/11/2024
S0065,F292,FP1094,M252,Cassava,1893.11,297.83,925.85,5355.05,0.34,1565.74,1808.96,22/11/2024
S0066,F220,FP1082,M660,Yam,1648.84,239.68,7542.28,4156.29,36.43,1638.85,1855.7,14/10/2024
S0067,F191,FP1393,M409,Cassava,2046.34,246.22,4313.6,3686.51,90.36,1438.37,1603.85,06/10/2024
S0068,F203,FP0764,M999,Yam,1834.83,308.85,6687.15,1400.52,50.69,1304.21,1530.94,06/03/2024
S0069,F001,FP1397,M566,Maize,1449.09,172.3,6744.64,3275.01,67.61,1032.55,1211.11,02/07/2024
S0070,F008,FP1146,M348,Sorghum,2894.9,183.42,2581.76,5383.72,14.88,2208.88,2540.0,27/07/2024
S0071,F041,FP0740,M704,Cassava,1421.55,178.74,4010.21,2925.78,65.8,1410.39,1762.84,24/03/2024
S0072,F220,FP0752,M925,Maize,1477.34,127.96,4754.42,3973.34,65.11,1466.79,1851.32,01/04/2024
S0073,F010,FP0824,M798,Cassava,2190.14,250.58,4852.78,2576.67,101.93,2017.05,2352.76,16/05/2024
S0074,F063,FP1241,M854,Maize,1947.74,163.19,5517.33,4848.77,37.25,1456.44,1806.36,28/08/2024
S0075,F197,FP0771,M437,Rice,1909.34,206.09,8192.29,3901.58,43.94,1463.95,1849.43,26/04/2024
S0076,F085,FP1102,M457,Rice,1477.86,334.92,2262.82,3803.24,29.44,1133.34,1396.28,05/02/2024
S0077,F095,FP1096,M551,Yam,2330.22,347.9,5484.67,6071.1,74.74,2307.07,2666.57,13/12/2024
S0078,F268,FP1078,M236,Maize,1857.43,348.59,7053.16,3249.13,87.23,1846.93,2229.69,13/05/2024
S0079,F207,FP1253,M853,Maize,1289.81,221.16,7299.25,3787.82,17.12,971.96,1256.26,01/11/2024
S0080,F226,FP0806,M306,Sorghum,1916.73,296.19,1538.25,5166.51,30.06,1591.59,1982.66,18/09/2024
S0081,F249,FP0166,M481,Maize,2243.03,230.4,4026.57,5001.67,21.32,1647.94,2109.2,28/12/2024
S0082,F133,FP0797,M900,Cassava,2290.77,263.15,7424.31,2783.93,92.38,1903.21,2291.43,05/07/2024
S0083,F205,FP0126,M747,Sorghum,1864.02,206.31,1361.4,4371.91,85.82,1546.0,1993.99,09/06/2024
S0084,F095,FP1398,M912,Sorghum,712.56,382.25,2797.5,3731.51,32.07,640.6,720.63,07/06/2024
S0085,F195,FP0667,M093,Sorghum,2173.68,219.65,5152.1,3529.44,75.78,1956.46,2279.74,06/03/2024
S0086,F092,FP0682,M829,Cassava,2108.05,202.99,5101.69,2267.04,39.96,1596.96,1969.03,11/11/2024
S0087,F046,FP0546,M945,Rice,727.07,275.91,8929.45,3052.9,30.31,633.08,747.8,26/05/2024
S0088,F107,FP0831,M048,Rice,1450.14,254.98,4775.34,2668.55,43.99,1106.54,1391.09,26/08/2024
S0089,F253,FP0719,M303,Cassava,2107.08,293.03,4449.9,452.88,53.85,1754.22,2166.68,03/12/2024
S0090,F216,FP1410,M365,Rice,1042.4,335.68,5800.44,1823.23,32.99,756.2,909.78,17/02/2024
S0091,F274,FP0806,M739,Cassava,2035.91,285.57,3257.51,2659.88,68.49,1925.01,2406.7,11/04/2024
S0092,F039,FP1297,M231,Sorghum,1414.46,280.33,5150.53,1687.49,69.59,1052.65,1167.64,07/02/2024
S0093,F025,FP1418,M067,Yam,1448.72,156.47,4403.79,6259.26,41.7,1212.04,1548.05,10/09/2024
S0094,F111,FP1393,M748,Maize,2581.41,278.89,4223.86,1997.4,88.75,2116.49,2390.61,05/08/2024
S0095,F226,FP1467,M952,Yam,2497.87,148.32,841.74,2967.79,86.91,1912.5,2411.32,26/01/2024
S0096,F112,FP0516,M350,Cassava,1491.45,151.88,3815.21,1704.01,9.05,1293.42,1660.1,25/08/2024
S0097,F040,FP0229,M548,Yam,1824.26,181.83,6594.97,3217.81,54.31,1642.33,2131.05,09/11/2024
S0098,F062,FP1465,M194,Sorghum,2697.58,234.78,9086.64,5429.42,57.56,2547.87,3257.21,16/08/2024
S0099,F118,FP0836,M787,Rice,2266.51,186.68,6281.16,1777.82,53.79,2196.62,2742.99,06/05/2024
S0100,F142,FP0320,M550,Yam,2723.49,258.62,2721.72,3401.61,105.9,2592.65,2995.71,16/11/2024
S0101,F161,FP0902,M690,Cassava,3191.89,127.23,9134.09,82.59,113.88,2463.42,2926.48,19/05/2024
S0102,F168,FP0321,M319,Cassava,1099.89,256.08,7212.66,4157.46,4.43,880.74,1126.12,28/04/2024
S0103,F094,FP1119,M817,Yam,1438.33,410.37,5903.03,3965.7,15.39,1172.11,1325.14,27/07/2024
S0104,F137,FP0588,M995,Yam,2141.98,229.88,5173.18,2766.48,6.67,1712.01,2042.74,18/07/2024
S0105,F267,FP0873,M229,Sorghum,2383.89,257.81,4024.79,2351.16,82.9,2315.83,2817.94,13/07/2024
S0106,F078,FP1434,M574,Yam,1997.23,210.53,6742.25,2510.96,29.82,1683.85,2169.72,02/08/2024
S0107,F295,FP0616,M526,Cassava,2400.61,211.43,5500.38,4208.6,96.01,2068.04,2578.69,06/09/2024
S0108,F153,FP0145,M225,Rice,636.82,345.76,6373.66,509.39,0.92,487.69,578.97,08/12/2024
S0109,F067,FP0391,M179,Yam,655.47,340.27,3250.39,2399.44,5.41,592.38,699.52,06/03/2024
S0110,F231,FP0923,M420,Sorghum,2054.69,327.31,6940.16,4081.16,93.17,2042.81,2465.31,15/10/2024
S0111,F010,FP0517,M635,Yam,1623.94,210.23,4187.45,3390.79,34.8,1459.76,1630.24,03/04/2024
S0112,F216,FP0948,M696,Rice,677.6,287.31,11348.88,3273.36,7.17,484.54,569.73,21/06/2024
S0113,F173,FP0130,M411,Yam,513.53,213.01,7771.81,4512.9,19.31,476.75,560.57,09/05/2024
S0114,F069,FP0011,M254,Maize,983.89,259.67,5341.19,4253.35,36.85,935.16,1116.64,28/06/2024
S0115,F218,FP0141,M616,Maize,1354.58,77.27,9891.5,3193.83,64.84,1039.32,1157.52,16/01/2024
S0116,F133,FP0888,M805,Cassava,1854.7,290.8,3419.05,3707.2,1.89,1826.66,2082.16,02/05/2024
S0117,F051,FP1053,M462,Cassava,2741.01,334.18,3020.79,2811.32,77.29,2022.5,2495.55,26/08/2024
S0118,F149,FP1455,M969,Sorghum,1827.86,316.59,3406.99,3991.16,15.33,1663.06,2084.45,28/02/2024
S0119,F291,FP0575,M244,Sorghum,2037.66,332.32,6646.34,3109.98,31.69,1901.82,2154.29,14/01/2024
S0120,F017,FP0640,M939,Yam,1155.02,149.34,5943.38,705.35,52.44,1130.38,1373.59,22/07/2024
S0121,F150,FP0666,M156,Cassava,2319.41,191.12,5156.82,772.95,68.67,2278.68,2596.93,22/02/2024
S0122,F148,FP0342,M476,Maize,1781.48,270.06,2320.74,3223.34,60.95,1619.65,1879.31,16/10/2024
S0123,F215,FP0435,M891,Rice,1269.87,161.74,3865.67,4693.33,27.2,1187.06,1388.2,05/02/2024
S0124,F286,FP1168,M424,Yam,2928.24,199.85,1698.53,4051.41,124.39,2494.24,2913.89,24/02/2024
S0125,F113,FP0114,M222,Yam,1917.41,367.26,2644.94,3305.55,85.48,1591.56,1866.0,28/12/2024
S0126,F131,FP0800,M778,Rice,1944.92,222.16,6666.45,1010.19,50.74,1450.71,1646.89,11/11/2024
S0127,F288,FP1202,M391,Yam,1619.05,235.13,4821.56,3044.98,39.14,1525.89,1842.72,30/10/2024
S0128,F255,FP0328,M054,Maize,1447.76,189.02,6625.12,178.96,60.13,1130.0,1435.49,22/05/2024
S0129,F264,FP1442,M803,Sorghum,1871.61,308.48,6627.73,1589.38,43.49,1805.15,2073.71,08/12/2024
S0130,F165,FP0182,M469,Cassava,1917.33,257.69,1613.47,1649.2,81.58,1560.13,1725.1,06/09/2024
S0131,F161,FP0151,M085,Sorghum,1915.47,189.88,1660.44,5647.03,32.6,1462.72,1842.39,25/12/2024
S0132,F195,FP0471,M119,Cassava,1179.25,182.86,6512.7,880.46,30.46,1136.83,1376.88,13/02/2024
S0133,F226,FP1077,M940,Cassava,2423.35,88.11,4289.94,3386.21,67.27,1871.81,2211.14,19/12/2024
S0134,F215,FP0128,M736,Maize,1942.24,242.7,4272.78,2914.58,43.52,1636.97,2033.72,17/02/2024
S0135,F237,FP1305,M359,Sorghum,1953.9,120.29,6234.78,1199.75,23.77,1540.2,1818.79,07/07/2024
S0136,F029,FP1133,M610,Sorghum,1277.75,224.43,1740.81,3827.8,27.18,1075.84,1297.66,18/06/2024
S0137,F076,FP0342,M981,Cassava,2802.79,290.23,3202.4,1635.55,42.97,2257.77,2688.44,02/03/2024
S0138,F237,FP0821,M455,Cassava,1346.71,299.11,7372.36,3385.71,50.02,1234.11,1435.41,08/04/2024
S0139,F046,FP0130,M822,Sorghum,2501.95,205.31,4303.97,3297.84,90.64,1913.78,2290.49,01/11/2024
S0140,F149,FP1320,M011,Cassava,1082.82,280.67,7682.62,1674.33,10.51,849.9,951.98,03/07/2024
S0141,F098,FP0055,M623,Rice,2086.98,117.25,1490.43,2814.16,55.74,1573.23,1735.0,24/01/2024
S0142,F244,FP0958,M507,Cassava,1184.02,250.17,1620.89,4480.68,41.29,1174.89,1422.41,22/11/2024
S0143,F201,FP0296,M017,Sorghum,1623.91,256.98,8309.96,1943.58,70.86,1559.83,1868.95,25/05/2024
S0144,F291,FP0131,M498,Maize,1327.65,401.2,6264.82,4458.83,12.24,1116.31,1326.28,09/05/2024
S0145,F275,FP1068,M955,Yam,2110.9,130.08,4851.13,3931.01,86.77,2073.58,2479.06,08/09/2024
S0146,F216,FP0339,M776,Cassava,1888.85,146.53,7569.07,4033.55,5.06,1364.17,1672.32,15/10/2024
S0147,F200,FP0466,M089,Sorghum,2218.85,335.76,7709.69,4542.96,27.53,2184.99,2440.71,01/08/2024
S0148,F288,FP0778,M016,Sorghum,1872.47,213.23,6636.97,3200.77,21.13,1651.32,2077.61,13/07/2024
S0149,F215,FP0594,M223,Yam,2023.32,225.07,5056.64,3044.63,87.02,1689.78,2008.38,05/06/2024
S0150,F273,FP1183,M152,Maize,2269.14,203.88,4131.01,2536.24,108.93,1975.49,2196.84,16/04/2024
S0151,F183,FP0983,M364,Cassava,1911.07,206.49,7667.72,3476.72,7.76,1696.37,1955.79,29/03/2024
S0152,F210,FP1185,M016,Sorghum,2821.2,273.96,7020.27,2705.61,57.63,2442.02,2762.67,28/08/2024
S0153,F034,FP0414,M251,Yam,1252.95,73.99,5164.57,4598.22,44.29,986.54,1130.87,06/02/2024
S0154,F245,FP0748,M697,Sorghum,1541.36,338.65,1789.18,3851.78,60.72,1396.8,1794.58,04/12/2024
S0155,F065,FP0003,M429,Cassava,1396.98,225.94,2311.1,1622.02,8.02,1314.8,1498.3,27/11/2024
S0156,F153,FP0432,M705,Maize,1297.93,186.25,4509.86,1675.26,9.23,966.56,1114.57,25/03/2024
S0157,F198,FP0807,M440,Rice,1475.72,296.13,5486.99,4392.15,60.82,1383.91,1687.0,12/08/2024
S0158,F072,FP1334,M885,Rice,1751.45,243.8,4743.58,2248.29,61.28,1291.35,1598.35,13/09/2024
S0159,F054,FP1071,M727,Yam,2034.28,275.57,7841.01,2143.88,60.83,1753.54,2082.42,14/06/2024
S0160,F160,FP0781,M120,Sorghum,1383.82,273.0,508.67,1682.44,15.84,1219.3,1347.54,27/10/2024
S0161,F195,FP0921,M738,Rice,1709.5,116.67,5571.73,3501.69,57.46,1684.26,2189.39,22/10/2024
S0162,F226,FP0984,M124,Yam,2129.27,380.71,2241.36,1903.6,50.09,1516.19,1897.14,22/05/2024
S0163,F037,FP1340,M688,Yam,1783.44,365.62,3964.78,3335.68,56.61,1345.51,1637.57,16/02/2024
S0164,F224,FP0318,M349,Maize,1791.79,323.19,5302.74,4294.2,28.76,1506.9,1780.66,23/03/2024
S0165,F237,FP1313,M262,Yam,2072.33,381.18,7203.31,3095.43,29.86,1655.67,2050.94,08/10/2024
S0166,F169,FP0781,M363,Maize,1481.07,206.81,5635.61,2055.73,18.69,1053.05,1176.9,25/07/2024
S0167,F045,FP0826,M761,Sorghum,1897.43,228.89,4259.35,1749.66,0.11,1820.53,2302.94,24/08/2024
S0168,F258,FP0589,M989,Yam,1455.23,274.65,3435.81,2077.47,26.32,1199.07,1363.96,16/11/2024
S0169,F233,FP0017,M360,Cassava,1675.87,198.36,6506.61,974.63,22.38,1395.35,1549.29,27/05/2024
S0170,F074,FP1257,M224,Sorghum,2547.57,254.95,4297.72,4661.08,15.47,2118.14,2625.75,02/05/2024
S0171,F278,FP1220,M916,Yam,2078.59,190.73,4107.13,3291.13,1.42,1897.62,2205.32,17/02/2024
S0172,F193,FP0022,M474,Maize,2336.82,168.14,9040.8,1890.19,13.26,1793.3,2274.41,27/11/2024
S0173,F029,FP0907,M033,Sorghum,947.46,336.8,4737.92,52.86,33.95,899.75,1079.41,27/12/2024
S0174,F026,FP1454,M738,Cassava,2166.06,315.6,2540.26,2733.39,106.16,1693.92,2146.1,21/08/2024
S0175,F288,FP1154,M687,Sorghum,2124.32,309.11,7243.71,4965.82,97.92,1838.34,2163.21,10/03/2024
S0176,F021,FP0303,M976,Yam,1688.79,159.71,4312.62,5323.81,66.71,1619.9,1871.39,23/06/2024
S0177,F015,FP1186,M957,Rice,1241.71,158.01,5707.53,2568.07,50.94,1217.22,1462.55,01/06/2024
S0178,F208,FP1084,M430,Cassava,2051.21,360.46,4682.69,1220.04,67.68,1951.2,2372.63,16/08/2024
S0179,F181,FP0378,M899,Sorghum,1614.9,241.63,4676.75,988.09,44.56,1391.36,1626.53,12/07/2024
S0180,F009,FP1017,M956,Cassava,1086.94,282.43,5256.21,1978.42,10.25,909.34,1058.8,19/10/2024
S0181,F064,FP0721,M072,Rice,2220.32,194.32,8925.65,2422.41,45.6,1809.32,2300.01,30/08/2024
S0182,F166,FP0011,M301,Cassava,1964.25,234.94,5515.99,3703.68,37.92,1790.55,2260.18,10/09/2024
S0183,F076,FP0889,M046,Rice,1489.7,270.57,4992.79,1262.45,71.9,1473.98,1658.59,21/02/2024
S0184,F202,FP0936,M928,Yam,2551.7,301.42,7046.28,3137.38,67.1,2455.39,2917.15,08/01/2024
S0185,F166,FP0871,M090,Cassava,1107.31,162.49,6977.77,3934.96,36.25,1015.11,1199.86,08/02/2024
S0186,F123,FP0009,M774,Yam,1553.27,208.85,7951.71,5285.53,26.29,1306.06,1689.83,28/11/2024
S0187,F178,FP1342,M084,Sorghum,1985.98,227.96,7099.11,2197.15,66.96,1438.04,1676.34,13/07/2024
S0188,F003,FP1151,M809,Yam,2458.7,253.83,4556.18,1178.22,109.1,2424.87,2971.34,04/10/2024
S0189,F012,FP0909,M537,Rice,2125.14,349.71,4359.31,3636.25,67.07,1510.49,1682.21,26/04/2024
S0190,F183,FP0288,M307,Maize,2061.42,199.84,2377.56,4797.67,10.15,1904.81,2260.62,15/08/2024
S0191,F202,FP0755,M035,Rice,1555.15,456.58,4175.37,882.06,2.25,1166.22,1352.69,29/01/2024
S0192,F213,FP0159,M954,Sorghum,2041.14,210.61,4033.63,5360.98,14.86,1608.44,1889.87,29/07/2024
S0193,F020,FP0956,M152,Maize,1187.12,137.49,6904.59,7419.32,10.09,1032.53,1299.44,08/11/2024
S0194,F228,FP0578,M335,Sorghum,1595.27,245.36,4654.75,4325.49,19.21,1533.46,1876.87,14/03/2024
S0195,F246,FP0637,M268,Maize,2126.16,129.65,3655.02,427.23,48.86,1636.41,2008.83,26/08/2024
S0196,F282,FP0100,M752,Yam,1555.23,283.58,8319.9,4913.47,12.28,1509.14,1864.58,25/06/2024
S0197,F293,FP0837,M934,Rice,1915.32,77.27,1699.02,2924.37,92.13,1908.22,2213.21,21/08/2024
S0198,F231,FP1108,M130,Yam,1721.63,314.37,5536.43,1929.58,33.11,1641.73,1871.32,24/02/2024
S0199,F163,FP1253,M261,Rice,1363.02,126.16,7215.44,1937.88,39.17,1051.11,1276.45,12/01/2024
S0200,F195,FP0630,M270,Sorghum,1022.05,220.93,3817.39,71.72,14.03,1015.29,1250.48,17/12/2024
S0201,F133,FP1300,M776,Yam,1356.5,269.69,8001.52,4275.33,61.76,1266.28,1639.48,26/05/2024
S0202,F121,FP1131,M933,Cassava,1625.67,215.55,6007.63,230.82,65.18,1516.3,1737.72,21/11/2024
S0203,F156,FP1391,M719,Cassava,2153.61,307.92,8168.01,6461.69,81.36,1630.37,1875.13,17/11/2024
S0204,F282,FP0797,M001,Yam,1639.19,208.43,4738.17,1447.57,3.23,1195.21,1464.72,18/01/2024
S0205,F179,FP1230,M012,Rice,1705.0,271.39,5278.69,3678.8,7.68,1489.95,1857.18,16/06/2024
S0206,F178,FP0919,M428,Sorghum,1733.21,316.01,2868.87,3137.71,11.45,1601.91,1818.37,06/07/2024
S0207,F008,FP1365,M129,Rice,1831.93,248.44,3558.42,3725.84,76.07,1574.1,2019.09,03/09/2024
S0208,F119,FP1242,M427,Maize,2202.6,154.67,4938.22,6005.11,95.86,2181.05,2527.9,27/08/2024
S0209,F232,FP0588,M987,Yam,2281.48,261.53,5395.13,3673.84,110.25,2256.08,2545.2,12/10/2024
S0210,F142,FP1077,M304,Sorghum,1261.67,286.79,3456.74,3444.94,0.88,1021.62,1285.34,04/03/2024
S0211,F073,FP0589,M159,Sorghum,2302.57,222.33,6128.81,3533.33,77.41,1925.95,2377.71,14/07/2024
S0212,F102,FP0019,M454,Cassava,957.61,174.64,6579.8,2412.86,5.19,906.59,1167.74,29/08/2024
S0213,F089,FP0725,M655,Sorghum,1065.46,177.06,7676.23,5379.56,29.91,753.82,962.51,23/04/2024
S0214,F093,FP1497,M417,Rice,790.22,315.0,3722.08,1015.37,18.34,706.69,867.17,28/11/2024
S0215,F265,FP1027,M085,Rice,2621.01,310.69,5118.28,4689.18,124.01,2155.75,2431.59,09/09/2024
S0216,F154,FP0665,M012,Yam,1572.88,238.6,5179.22,1227.91,42.27,1155.81,1325.67,20/08/2024
S0217,F043,FP0944,M343,Sorghum,1725.01,125.6,6189.51,4280.12,60.07,1399.51,1805.19,02/08/2024
S0218,F281,FP0715,M051,Maize,2179.46,259.68,3492.07,2578.99,96.49,1909.65,2378.13,07/09/2024
S0219,F052,FP0494,M539,Rice,953.52,233.12,5115.59,4154.49,13.34,843.58,1086.37,21/04/2024
S0220,F158,FP0002,M945,Maize,1385.54,251.44,2882.72,3094.75,59.26,1154.18,1489.02,17/12/2024
S0221,F159,FP0959,M312,Maize,1964.66,267.64,3866.41,3792.49,63.34,1591.77,2038.01,22/07/2024
S0222,F263,FP1409,M172,Yam,1728.08,295.73,5250.45,2355.89,82.0,1352.68,1749.88,16/02/2024
S0223,F118,FP1301,M726,Maize,1861.15,278.03,7650.54,3633.02,55.57,1672.86,2054.84,26/01/2024
S0224,F121,FP0682,M584,Sorghum,1270.3,273.43,5633.48,5264.49,8.0,1189.05,1365.88,15/04/2024
S0225,F152,FP0531,M612,Cassava,1371.36,165.92,8639.15,1757.71,14.2,988.18,1238.22,29/04/2024
S0226,F242,FP0581,M687,Maize,1919.74,185.26,6005.6,2459.23,86.44,1533.04,1731.59,21/05/2024
S0227,F150,FP1456,M805,Rice,3034.03,107.55,7449.17,5435.09,19.72,2905.15,3279.73,30/03/2024
S0228,F078,FP1101,M509,Rice,1031.53,258.74,6333.96,675.7,6.8,756.09,962.72,01/05/2024
S0229,F125,FP1191,M937,Cassava,1491.09,372.75,6137.97,5442.59,19.78,1307.17,1442.01,03/08/2024
S0230,F232,FP0353,M676,Rice,1610.44,225.75,3836.64,1477.86,38.35,1381.48,1725.65,19/09/2024
S0231,F196,FP0561,M828,Sorghum,1475.36,154.32,5467.57,666.16,16.34,1295.51,1542.18,23/01/2024
S0232,F300,FP0381,M058,Rice,1965.44,298.35,7455.34,1185.54,64.75,1804.61,2313.06,22/08/2024
